A,B,C,D
1,18,35.33,73.13
2,12,38.1,37.26
3,2,41.1,-22.88
4,5,44.28,-4.86
5,25,47.26,115
6,34,50.13,169.06
7,19,53.25,79.26
8,26,56.06,121.24
9,1,59.34,-28.78
10,20,62.18,84.98
11,12,65.36,37.34
12,28,68.01,132.98
13,8,71.35,13.02
14,22,74.01,97.32
15,30,77.26,145.12
16,32,80.12,157.19
17,32,83.31,156.98
18,20,86.09,85.06
19,38,89.1,193.02
20,14,92.23,49.14
21,15,95.35,55.05
22,3,98.15,-16.92
23,3,101.23,-16.95
24,7,104.37,7
25,34,107.28,169.2
26,0,110.12,-34.65
27,22,113.05,97.2
28,22,116.17,97.32
29,23,119.16,103.36
30,19,122.3,79.21
31,36,125.37,181.11
32,3,128,-16.8
33,5,131.35,-5.02
34,12,134.35,37.37
35,15,137.29,55.19
36,37,140.21,187.34
37,26,143.35,121.33
38,9,146.1,19.12
39,35,149.33,175.22
40,33,152.04,163.15
41,9,155,19.14
42,14,158.35,49.09
43,36,161,181.06
44,36,164.05,181.03
45,28,167.12,133.26
46,9,170.01,19.1
47,37,173.28,187.07
48,32,176.29,157.19
49,39,179.16,199.06
50,23,182.01,103.13
51,32,185.1,157.07
52,9,188.16,19.37
53,12,191.13,37.31
54,20,194.01,84.98
55,18,198,73.29
56,14,200.04,48.99
57,10,203.16,25.36
58,0,206.18,-34.71
59,23,209.31,103.28
60,1,212,-28.97
61,4,215.07,-10.64
62,9,218.16,19.37
63,27,221.15,127.09
64,34,224.01,169.21
65,38,227.01,192.99
66,29,230.08,139.06
67,30,233.18,145.16
68,21,236.1,91.36
69,12,239.33,37.3
70,34,242.26,169.32
71,39,245.22,199.01
72,37,248.31,187.11
73,28,251.11,133.21
74,39,254.05,199.24
75,23,257.03,103.19
76,24,260.33,109.21
77,24,263.15,109.33
78,3,266.36,-16.95
79,1,269,-28.68
80,25,272.34,115.12
81,11,275.26,31.37
82,6,278.15,1.3
83,20,281.04,85.03
84,35,284.35,175.03
85,13,287.18,43.08
86,34,290.35,169.03
87,18,293.19,73.13
88,13,296.14,43.11
89,13,299.08,43.14
90,39,302.33,199.02
91,14,305.05,49.3
92,13,308.03,43
93,37,311.23,186.98
94,35,314.1,175.35
95,0,317.23,-34.92
96,10,320.18,25.37
97,8,323.28,13.1
98,23,326.33,103.27
99,36,329.06,181.37
100,4,332.06,-10.68
