A,B,C,D,E,F
4,56.13,33,113.07,65.6384,6.89887
13,118.97,5,1.18,-49.8964,-25.4235
22,181.97,30,101.55,-61.8187,-20.0861
27,217.53,26,85.11,23.5908,52.9856
11,105.51,29,97.51,-55.8396,-76.8566
5,63.06,25,81.35,29.0781,43.1099
39,301.34,4,-2.67,57.0456,53.1958
0,27.98,0,-18.72,-0.469472,-0.882947
36,280.35,23,73.11,-32.0539,-34.3736
26,210.53,16,45.04,-16.0738,-5.53465
17,147.25,15,41.11,40.6337,52.0087
26,210.14,4,-2.81,-26.7372,-3.75767
22,182.3,16,44.99,26.7532,24.0887
1,35.02,25,81.41,-23.5167,-33.5852
38,294.14,39,137.24,-42.9659,-46.0753
21,175.43,10,21.33,58.8976,11.4485
36,280.15,13,33.29,17.5424,57.3783
15,133.19,23,73,-16.9706,-16.9706
2,42.34,37,129.37,44.5344,59.099
2,42.49,6,5.18,69.9214,12.329
35,273.09,1,-14.58,-21.8085,-32.3324
13,119.54,20,61.03,-48.7715,-14.9109
16,140.14,35,121.37,10.5954,5.63365
0,28.04,13,33.26,7.44224,25.9541
37,287.38,31,105.52,14.2658,4.63525
30,238.07,27,89.48,25.4235,49.8963
25,203.06,17,49.34,-65.7753,-29.285
9,91.41,36,125.13,-78.6386,-55.0633
12,112.53,7,9.02,-16.9684,-30.6117
4,56,8,13.24,-70.921,-55.4095
22,182.18,33,112.99,39.5469,19.2883
2,42.06,31,104.97,-12.3023,-18.2388
39,301.25,15,41.44,52.2854,80.5123
7,77.25,0,-18.96,-8.79036,-25.529
13,119.46,1,-14.62,28.8411,3.03132
16,140.48,4,-2.61,19.7267,40.4457
23,189.45,30,101.43,-8.63208,-8.3359
17,147.56,37,129.42,-43.4534,-69.5399
37,287.02,34,117.54,-15.7814,-32.3566
15,133.35,9,17.25,30.882,2.70183
12,112.45,33,113.53,29.3893,40.4508
37,287.02,7,9.45,-74.6283,-46.6329
9,91.46,6,5.15,72.6404,14.1199
31,245.2,1,-14.46,-12.2578,-24.0572
37,287.17,16,45.43,-16.1129,-10.0685
8,84.1,7,8.98,35.5081,72.8023
20,168.08,35,121.24,-19.4709,-7.86673
34,266.37,28,93.49,92.0899,33.5179
8,84.18,38,133.19,52.4621,83.9567
20,168.13,24,77.25,18.4691,50.7434
15,133.19,30,101.12,55.6257,29.5767
4,56.41,14,37.28,17.619,14.7841
30,238.07,5,1.08,-33.552,-17.8399
6,70,25,81.53,36.5445,5.78807
20,168.46,20,61.33,-1.45443,-2.62386
13,119.41,8,13,-16.9894,-12.3435
6,70.13,27,89.3,-45.2947,-67.152
18,154.07,21,65.41,36.5001,63.2198
27,217.36,10,21.41,20.0649,18.0665
28,224.04,16,44.97,16.1081,39.8689
6,70.45,18,53.23,-24.0421,-16.2166
10,98.27,37,129.34,19.4681,59.9165
20,168.18,19,57.38,66.1539,70.9413
29,231.54,11,25.36,-45.3126,-64.713
19,161.19,38,133.44,36.1331,40.1298
21,175.18,2,-10.92,49.5001,85.7365
32,252.46,15,41.07,89.7245,41.8392
7,77.16,24,77.43,-48.6498,-72.1262
10,97.99,38,133.1,63.4259,68.0159
23,189.41,14,37.18,11.0461,4.68877
27,217.1,1,-14.82,53.8307,15.4357
6,70.45,2,-10.89,-80.8915,-39.4534
24,196.14,21,65.37,14.8153,2.34652
22,182.02,28,93.09,29.2194,72.3203
24,196.51,18,53.15,34.8668,3.05045
39,301.31,15,41.17,-3.34566,-3.71572
33,259.51,23,73.25,-52.4848,-60.3767
29,231.13,3,-6.81,9.50629,14.0936
36,280.56,28,93.13,14.0576,49.0243
22,182.13,33,113.37,-39.7262,-85.1929
2,42.02,35,121.46,51.6784,26.3314
12,112.4,8,13.12,22.672,21.1419
21,174.98,25,81.54,-20.427,-53.2141
8,84.09,33,113.33,-58.8976,-11.4485
35,273.19,24,77.25,-25.7229,-38.1357
29,231.33,28,93.53,44.1732,8.5864
10,98.26,10,21.16,-74.5999,-36.3848
39,301.27,14,37.33,60.7226,28.3154
30,238.12,2,-10.48,-36.7393,-42.2637
32,252.08,17,49.25,35.9518,17.5348
39,300.98,0,-19.03,-9.32853,-5.82911
6,70.56,7,9.45,-22.6413,-19.6818
22,182.27,6,5.33,13.9886,11.3278
6,70.46,21,64.97,-22.5526,-8.20848
35,273.37,17,49.21,-8.54479,-29.7991
27,217.17,22,69.24,-55.9194,-82.9037
37,287.16,2,-10.99,-4.44627,-12.216
12,112.46,7,9.35,29.1097,24.4259
32,252.01,26,85.51,-2.36403,-1.84698
31,245.29,3,-6.63,-3.10859,-2.51728
29,231.52,5,1.4,-36.4379,-6.42498
26,210.09,36,125.06,-26.782,-44.5727
14,126.37,25,80.98,30.7354,49.1868
18,154.28,20,61.42,17.614,54.2102
20,168.17,9,17,38.0273,71.5187
0,28.47,4,-2.78,-21.5957,-40.6156
